label_id	text
7	一种抑制铜冶炼过程高温烟气中三氧化硫生成的方法<sep>一种抑制铜冶炼过程高温烟气中三氧化硫生成的方法<sep>包括以下步骤： (1)铜冶炼过程烟气控制在≥900℃，经废渣换热后余热锅炉， ≤400℃； (2)将黄铁矿和/或黄铜矿磨成矿粉；加热至100m 120℃作为抑制剂（3）当上升烟道中烟气的氧气体积百分比大于3%时，以氮气作为载气连续注入抑制剂，以降低烟气中的氧气含量； (4)当氧气低于0.1%时，停止喷洒抑制剂<sep>本发明方法从源头上抑制三氧化硫的产生，控制漏风量和注入抑制剂，从源头上抑制三氧化硫的产生
7	一种空气净化器滤芯<sep>本实用新型公开了一种用于空气净化器的滤芯<sep>包括处于透明状态的滤芯本体。滤芯本体的两端分别设置有进风口和出风口，滤芯本体靠近进风口的一端设置有过滤网。靠近出风口的一端设有活性炭海绵，滤网与活性炭海绵之间设有无纺滤棉。活性炭海绵靠近无纺滤棉的一端设置有光接触介质层，活性炭海绵靠近出风口的一端设置有椰壳纤维层<sep>本实用新型与现有技术相比，具有结构精炼、分级过滤、净化吸附、高效除尘除臭等优点
7	用于处理放射性有机废物的装置和方法<sep>处理含有有机和含硫和/或含卤素化合物的放射性废物。一种装置包括反应容器<sep>反应容器包括过滤器和用于热处理废物的热氧化器<sep>使用共反应物减少废物处理中的气态硫和卤素
7	一种可清除汞离子的复合吸附微球的制备方法<sep>本发明涉及一种可去除汞离子的复合吸附微球的制备方法<sep>包括伊利石的预处理、纤维素离子液体的制备、伊利石-纤维素混合溶液的制备：将不同质量和相应比例的成孔剂加入到伊利石中。将制备好的纤维素离子液体搅拌均匀；伊利石-纤维素复合吸附微球的制备；改性伊利石-纤维素复合吸附微球的制备。本发明以伊利石和纤维素为原料，通过离子液体溶解纤维素，加入伊利石和致孔剂制备复合吸附微球，原料廉价易得，无毒无害，离子液体无-有毒，溶解性强，可回收，环保<sep>甲基？甲硫基？ 2？硝基乙烯基胺改性伊利特纤维素复合吸附微球在复合吸附微球中引入了巯基和胺基，大大提高了对汞离子的吸附效率
7	甲醛释放检测装置<sep>本实用新型公开了一种甲醛释放量检测装置<sep>属于甲醛检测技术领域。箱体一端设有翻门，翻门内表面设有保温层，翻门顶部转动连接箱体，箱体顶部设有若干加热装置，箱内装有甲醛检测仪。加热装置下方设有移动台车，移动台车底部设有导轨a，导轨b可拆卸连接导轨a，限位块an固定在导轨a上，翻盖门外表面设有显示器<sep>本实用新型的有益效果是在密闭保温箱内构建适合甲醛释放的温度，然后通过甲醛检测仪检测，判断被测物品是否含有和释放甲醛，从而指导用户服用下一步避免甲醛对身体的伤害
7	环保型加热炉全燃煤设备<sep>本发明涉及环保技术领域<sep>公开了一种环保加热炉全煤燃烧装置，包括加热炉体，加热炉体上端固定安装有燃烧腔，上燃烧腔表面固定安装有进气管。进气管下表面固定安装有气管，气管中下端活动装有密封圈，气管下端装有氧气壳。氧气壳下端螺纹设有氧气出口<sep>通过通风管、密封圈、氧气壳和氧气出口的组合使用，有效保证了煤在燃烧室未充分燃烧时，氧气壳可以产生氧气，将煤产生的一氧化碳氧化成二氧化碳，避免大量有毒的一氧化碳堆积，被人吸入体内，造成一氧化氮中毒，保护人们的健康
7	Ag/TiO光催化实时液相吸附脱硫<sep>本发明公开了一种基于Ag/TiO2的光催化实时液相吸附脱硫方法。银离子可以降低二氧化钛的带隙<sep>从而激发更多的电子和空穴，产生更多的游离羟基。此外，燃料中的水分子在光催化作用下能稳定地保持银离子的氧化态，保证Ag??O??Ti的活性基团不被紫外线破坏<sep>因此，本发明方法进行的吸附脱硫可以有效解决燃料中的水分子问题，同时吸附剂的脱硫能力更强，效率更高，效果更好
7	一种室内空气净化系统<sep>本发明涉及一种室内空气净化系统<sep>包括除雾甲醛杀菌模块、臭氧处理模块和控制模块；其中，除甲醛杀菌模块与控制模块电连接，用于去除空气中的雾霾颗粒、甲醛和细菌。臭氧处理模块与分解空气中臭氧的控制模块电连接。控制模块用于接收和处理数据，控制除甲醛杀菌模块和臭氧处理模块的开启和关闭。本发明的室内空气净化系统通过调节除雾甲醛杀菌模块中负离子发生单元与收集板的距离，使除雾甲醛杀菌模块进行除雾甲醛、除甲醛处理或杀菌处理，再将除甲醛杀菌模块产生的臭氧进行杀菌消毒处理，利用系统集成的臭氧处理模块将空气中的臭氧分解成氧气，以免空气中残留臭氧，对人体造成伤害<sep>身体
7	基于高效储能电极材料制备的剩余污泥资源化利用方法<sep>本发明涉及一种基于高效储能电极材料制备的剩余污泥资源化利用方法<sep>属于环境污染治理与固废综合利用技术领域。按照以下步骤，通过碱提从污泥中提纯腐植酸，通过Hummers法得到氧化石墨烯悬浮液，经超声波稀释处理，将腐植酸和氧化石墨烯按一定比例混合成混合溶液，继续进行超声一段时间，还原剂水合肼参与24小时，反应结束后，将混合液通过0.45μm水系膜过滤。过滤后，将膜收集到培养皿中，在80℃烘箱中干燥，在碗中研磨，得到粉末状腐植酸/石墨烯复合材料。将制备好的复合材料、导电剂和粘结剂按一定比例混合成电极糊，涂敷在泡沫镍上。干燥后可作为工作电极进行高效储能<sep>本发明操作简单，绿色环保，是污泥资源化利用的有效方法
7	一种城市水环境生态修复实时监测装置<sep>本实用新型涉及水环境生态修复技术领域<sep>公开了一种城市水环境生态修复实时监测装置，包括箱体和水质监测仪。箱体内固定有隔板，隔板一侧设有双轴电机。双轴电机的两个输出端子分别穿过隔板侧壁和箱体内壁向外延伸，箱体内设有螺旋叶片。并且螺旋叶片与双轴电机的一个输出端固定连接，双轴电机的另一个输出端与蜗杆固定连接，蜗杆与蜗轮啮合，蜗轮固定连接带有转轴，转轴的两端通过轴承与箱体前后两侧的内壁转动连接，转轴上还固定有转盘，箱底本体上设有与转盘相配合的开口<sep>本实用新型可以在监测过程中使水流动，从而提高了水质监测仪的监测范围，提高了数据的准确性
7	一种具有高絮凝活性的交替绿脓杆菌<sep>本发明公开了一种具有高絮凝活性的交替绿脓杆菌<sep>该菌株的分类拉丁学名为Alteromonas stellipolaris，菌株号为HM2017??12??002。于2017年11月30日在中国微生物菌种保藏委员会微生物总保藏中心保藏，保藏编号为CGMCC NO:14971<sep>本发明首次发现交替绿脓杆菌具有高絮凝活性的作用，为微生物处理污水提供了新途径
